SAMN13427315	SRR10555748	SRX7237490	SAMN13427315	SRS5736970	SRP233656	SRP233656		SRA1004050	RUN_At-710_T0_1574942440_sra_1	EXP_At-710_T0_1574942440_sra_1	SAMPLE_At-710_T0_1574942440_sra_1	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	361220200.0	3612202.0	3702	Arabidopsis thaliana	At-TR2_710_T0	Illumina HiSeq 2500 sequencing; At-TR2_710_T0	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR2_710_T0	At-TR2_710_T0	91830658380c366032da5080ae7fbef0	356146701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/048/SRR10555748/SRR10555748.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/048/SRR10555748/SRR10555748.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/048/SRR10555748/SRR10555748.fastq.gz
SAMN13427316	SRR10555749	SRX7237491	SAMN13427316	SRS5736971	SRP233656	SRP233656		SRA1004050	RUN_At-710_T0_1574942440_sra_2	EXP_At-710_T0_1574942440_sra_2	SAMPLE_At-710_T0_1574942440_sra_2	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1113949400.0	11139494.0	3702	Arabidopsis thaliana	At-TR1_710_T0	Illumina HiSeq 2500 sequencing; At-TR1_710_T0	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR1_710_T0	At-TR1_710_T0	0fb59a46249f553487d56f31f7790e0d	1051528912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/049/SRR10555749/SRR10555749.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/049/SRR10555749/SRR10555749.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/049/SRR10555749/SRR10555749.fastq.gz
SAMN13427317	SRR10555750	SRX7237492	SAMN13427317	SRS5736972	SRP233656	SRP233656		SRA1004050	RUN_At-710_T0_1574942440_sra_3	EXP_At-710_T0_1574942440_sra_3	SAMPLE_At-710_T0_1574942440_sra_3	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2430539400.0	24305394.0	3702	Arabidopsis thaliana	At-TR3_710_T0	Illumina HiSeq 2500 sequencing; At-TR3_710_T0	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR3_710_T0	At-TR3_710_T0	a01d1fb820c92ca28104b57557bf2057	2252685354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/050/SRR10555750/SRR10555750.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/050/SRR10555750/SRR10555750.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/050/SRR10555750/SRR10555750.fastq.gz
SAMN13427318	SRR10555751	SRX7237487	SAMN13427318	SRS5736973	SRP233656	SRP233656		SRA1004050	RUN_At-710_T3h_1574942442_sra_1	EXP_At-710_T3h_1574942442_sra_1	SAMPLE_At-710_T3h_1574942442_sra_1	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1726831900.0	17268319.0	3702	Arabidopsis thaliana	At-TR2_710_T3h	Illumina HiSeq 2500 sequencing; At-TR2_710_T3h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR2_710_T3h	At-TR2_710_T3h	7d3b036257345e7001d53bb771dc11f5	1624724395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/051/SRR10555751/SRR10555751.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/051/SRR10555751/SRR10555751.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/051/SRR10555751/SRR10555751.fastq.gz
SAMN13427319	SRR10555752	SRX7237488	SAMN13427319	SRS5736974	SRP233656	SRP233656		SRA1004050	RUN_At-710_T3h_1574942442_sra_2	EXP_At-710_T3h_1574942442_sra_2	SAMPLE_At-710_T3h_1574942442_sra_2	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2675427000.0	26754270.0	3702	Arabidopsis thaliana	At-TR1_710_T3h	Illumina HiSeq 2500 sequencing; At-TR1_710_T3h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR1_710_T3h	At-TR1_710_T3h	dab34a8cc444aa4a6b29213d526dd2cd	2490300267	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/052/SRR10555752/SRR10555752.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/052/SRR10555752/SRR10555752.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/052/SRR10555752/SRR10555752.fastq.gz
SAMN13427320	SRR10555753	SRX7237489	SAMN13427320	SRS5736975	SRP233656	SRP233656		SRA1004050	RUN_At-710_T3h_1574942442_sra_3	EXP_At-710_T3h_1574942442_sra_3	SAMPLE_At-710_T3h_1574942442_sra_3	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1752515200.0	17525152.0	3702	Arabidopsis thaliana	At-TR3_710_T3h	Illumina HiSeq 2500 sequencing; At-TR3_710_T3h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR3_710_T3h	At-TR3_710_T3h	c4b14e4ecafa82aea365041f608cb49e	1612574647	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/053/SRR10555753/SRR10555753.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/053/SRR10555753/SRR10555753.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/053/SRR10555753/SRR10555753.fastq.gz
SAMN13427312	SRR10555745	SRX7237493	SAMN13427312	SRS5736967	SRP233656	SRP233656		SRA1004050	RUN_At-710_T6h_1574942440_sra_1	EXP_At-710_T6h_1574942440_sra_1	SAMPLE_At-710_T6h_1574942440_sra_1	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2383122400.0	23831224.0	3702	Arabidopsis thaliana	At-TR2_710_T6h	Illumina HiSeq 2500 sequencing; At-TR2_710_T6h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR2_710_T6h	At-TR2_710_T6h	4284bf9573b247d780bd89b21852a32f	2244680228	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/045/SRR10555745/SRR10555745.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/045/SRR10555745/SRR10555745.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/045/SRR10555745/SRR10555745.fastq.gz
SAMN13427313	SRR10555746	SRX7237494	SAMN13427313	SRS5736968	SRP233656	SRP233656		SRA1004050	RUN_At-710_T6h_1574942440_sra_2	EXP_At-710_T6h_1574942440_sra_2	SAMPLE_At-710_T6h_1574942440_sra_2	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	3152898900.0	31528989.0	3702	Arabidopsis thaliana	At-TR1_710_T6h	Illumina HiSeq 2500 sequencing; At-TR1_710_T6h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR1_710_T6h	At-TR1_710_T6h	b2d8ca298638ddede0d17493afb94d93	2929722235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/046/SRR10555746/SRR10555746.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/046/SRR10555746/SRR10555746.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/046/SRR10555746/SRR10555746.fastq.gz
SAMN13427314	SRR10555747	SRX7237495	SAMN13427314	SRS5736969	SRP233656	SRP233656		SRA1004050	RUN_At-710_T6h_1574942440_sra_3	EXP_At-710_T6h_1574942440_sra_3	SAMPLE_At-710_T6h_1574942440_sra_3	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2889491800.0	28894918.0	3702	Arabidopsis thaliana	At-TR3_710_T6h	Illumina HiSeq 2500 sequencing; At-TR3_710_T6h	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR3_710_T6h	At-TR3_710_T6h	f58378e850c6bd6c6983a467f2a3f053	2657631855	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/047/SRR10555747/SRR10555747.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/047/SRR10555747/SRR10555747.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/047/SRR10555747/SRR10555747.fastq.gz
SAMN13427321	SRR10555754	SRX7237484	SAMN13427321	SRS5736976	SRP233656	SRP233656		SRA1004050	RUN_At-710_T90mn_1574942443_sra_1	EXP_At-710_T90mn_1574942443_sra_1	SAMPLE_At-710_T90mn_1574942443_sra_1	QUANTIREX-RNASeq	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	495890300.0	4958903.0	3702	Arabidopsis thaliana	At-TR2_710_T90mn	Illumina HiSeq 2500 sequencing; At-TR2_710_T90mn	Arabidopsis QUANTIREX	Illumina HiSeq 2500 sequencing; At-TR2_710_T90mn	At-TR2_710_T90mn	690d7d9992960249a9d337e7e56ffff4	487888710	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/054/SRR10555754/SRR10555754.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/054/SRR10555754/SRR10555754.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/054/SRR10555754/SRR10555754.fastq.gz
