SAMN13336679	SRR10502532	SRX7191515	SAMN13336679	SRS5697530	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182539_r1	GSM4182539	GSM4182539	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2446273902.0	16290263.0	3702	Arabidopsis thaliana	Apices, WT I 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182539: Apices, WT I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182539: Apices, WT I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, WT I 3 weeks SDs	dc416e22b1b9fb3162bcbff3d2bffc22	1248123922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/032/SRR10502532/SRR10502532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/032/SRR10502532/SRR10502532.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/032/SRR10502532/SRR10502532.fastq.gz
SAMN13336678	SRR10502533	SRX7191516	SAMN13336678	SRS5697531	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182540_r1	GSM4182540	GSM4182540	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	1841924241.0	12291281.0	3702	Arabidopsis thaliana	Apices, WT II 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182540: Apices, WT II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182540: Apices, WT II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, WT II 3 weeks SDs	9f695a34ac1e5391da4299fe16f21f71	913558267	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/033/SRR10502533/SRR10502533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/033/SRR10502533/SRR10502533.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/033/SRR10502533/SRR10502533.fastq.gz
SAMN13336677	SRR10502534	SRX7191517	SAMN13336677	SRS5697532	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182541_r1	GSM4182541	GSM4182541	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2546460317.0	16985659.0	3702	Arabidopsis thaliana	Apices, WT III 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182541: Apices, WT III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182541: Apices, WT III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, WT III 3 weeks SDs	5e97fa3b510411553ba1ef11dd06a12d	1276617561	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/034/SRR10502534/SRR10502534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/034/SRR10502534/SRR10502534.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/034/SRR10502534/SRR10502534.fastq.gz
SAMN13336676	SRR10502535	SRX7191518	SAMN13336676	SRS5697533	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182542_r1	GSM4182542	GSM4182542	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2684421930.0	17841000.0	3702	Arabidopsis thaliana	Apices, sail_783c05 I 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182542: Apices, sail_783c05 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182542: Apices, sail_783c05 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, sail_783c05 I 3 weeks SDs	df96f9b38c56a1e41d9e5f244c60b822	1420580206	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/035/SRR10502535/SRR10502535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/035/SRR10502535/SRR10502535.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/035/SRR10502535/SRR10502535.fastq.gz
SAMN13336675	SRR10502536	SRX7191519	SAMN13336675	SRS5697534	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182543_r1	GSM4182543	GSM4182543	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2367256272.0	15797264.0	3702	Arabidopsis thaliana	Apices, sail_783c05 II 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182543: Apices, sail_783c05 II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182543: Apices, sail_783c05 II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, sail_783c05 II 3 weeks SDs	6c95fd9d6ba4aedb168082e753756fee	1192946967	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/036/SRR10502536/SRR10502536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/036/SRR10502536/SRR10502536.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/036/SRR10502536/SRR10502536.fastq.gz
SAMN13336674	SRR10502537	SRX7191520	SAMN13336674	SRS5697535	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182544_r1	GSM4182544	GSM4182544	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2438402415.0	16265849.0	3702	Arabidopsis thaliana	Apices, sail_783c05 III 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182544: Apices, sail_783c05 III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182544: Apices, sail_783c05 III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, sail_783c05 III 3 weeks SDs	81c68a405149a839b5daa317bdd9baec	1229710810	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/037/SRR10502537/SRR10502537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/037/SRR10502537/SRR10502537.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/037/SRR10502537/SRR10502537.fastq.gz
SAMN13336673	SRR10502538	SRX7191521	SAMN13336673	SRS5697536	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182545_r1	GSM4182545	GSM4182545	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2463290866.0	16444534.0	3702	Arabidopsis thaliana	Apices, svp flc ft tsf soc1 I 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182545: Apices, svp flc ft tsf soc1 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182545: Apices, svp flc ft tsf soc1 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, svp flc ft tsf soc1 I 3 weeks SDs	cf1b9db454db6f6ff2563f7c3b4b5ffa	1243785838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/038/SRR10502538/SRR10502538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/038/SRR10502538/SRR10502538.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/038/SRR10502538/SRR10502538.fastq.gz
SAMN13336672	SRR10502539	SRX7191522	SAMN13336672	SRS5697537	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182546_r1	GSM4182546	GSM4182546	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2417790035.0	16150879.0	3702	Arabidopsis thaliana	Apices, svp flc ft tsf soc1 II 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182546: Apices, svp flc ft tsf soc1 II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182546: Apices, svp flc ft tsf soc1 II 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, svp flc ft tsf soc1 II 3 weeks SDs	1588ef6588a58f6297e1be71a4b08e40	1218639787	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/039/SRR10502539/SRR10502539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/039/SRR10502539/SRR10502539.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/039/SRR10502539/SRR10502539.fastq.gz
SAMN13336671	SRR10502540	SRX7191523	SAMN13336671	SRS5697538	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182547_r1	GSM4182547	GSM4182547	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	1941472952.0	12950733.0	3702	Arabidopsis thaliana	Apices, svp flc ft tsf soc1 III 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182547: Apices, svp flc ft tsf soc1 III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182547: Apices, svp flc ft tsf soc1 III 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, svp flc ft tsf soc1 III 3 weeks SDs	9502dd1140afee3fb80025dcc1cb708f	969255282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/040/SRR10502540/SRR10502540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/040/SRR10502540/SRR10502540.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/040/SRR10502540/SRR10502540.fastq.gz
SAMN13336670	SRR10502541	SRX7191524	SAMN13336670	SRS5697539	PRJNA590705	SRP230790	PRJNA590700;PRJNA9506	SRA999623	GSM4182548_r1	GSM4182548	GSM4182548	GSE140726	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 3000	ILLUMINA	2083279613.0	13893500.0	3702	Arabidopsis thaliana	Apices, qem2 I 3 weeks SDs	Illumina HiSeq 3000 sequencing; GSM4182548: Apices, qem2 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	H3K27me3 and H3K4me3 profiles in chr4/pkr1 and WT [RNA-seq]	Illumina HiSeq 3000 sequencing; GSM4182548: Apices, qem2 I 3 weeks SDs; Arabidopsis thaliana; RNA-Seq	Apices, qem2 I 3 weeks SDs	da6a9322e4410e7f3a6b33af5f4185d5	1043951965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/041/SRR10502541/SRR10502541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/041/SRR10502541/SRR10502541.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR105/041/SRR10502541/SRR10502541.fastq.gz
