SAMN04995044	SRR3501525	SRX1759230	SAMN04995044	SRS1435349	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151929_r1	GSM2151929	GSM2151929	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	3048398867.0	30182167.0	3702	Arabidopsis thaliana	RNA WT control rep1	Illumina HiSeq 2000 sequencing; GSM2151929: RNA WT control rep1; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151929: RNA WT control rep1; Arabidopsis thaliana; RNA-Seq	RNA WT control rep1	d477317f37f521b07a9e373740490a96	2757250236	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/005/SRR3501525/SRR3501525.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/005/SRR3501525/SRR3501525.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/005/SRR3501525/SRR3501525.fastq.gz
SAMN04995046	SRR3501526	SRX1759231	SAMN04995046	SRS1435348	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151930_r1	GSM2151930	GSM2151930	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2454017907.0	24297207.0	3702	Arabidopsis thaliana	RNA WT control rep2	Illumina HiSeq 2000 sequencing; GSM2151930: RNA WT control rep2; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151930: RNA WT control rep2; Arabidopsis thaliana; RNA-Seq	RNA WT control rep2	092dc3ecc3d021070dd870022a8e2db0	2261775012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/006/SRR3501526/SRR3501526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/006/SRR3501526/SRR3501526.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/006/SRR3501526/SRR3501526.fastq.gz
SAMN04995047	SRR3501527	SRX1759232	SAMN04995047	SRS1435350	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151931_r1	GSM2151931	GSM2151931	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2270949448.0	22484648.0	3702	Arabidopsis thaliana	RNA WT control rep3	Illumina HiSeq 2000 sequencing; GSM2151931: RNA WT control rep3; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151931: RNA WT control rep3; Arabidopsis thaliana; RNA-Seq	RNA WT control rep3	a8f4b9cdf2658c11e354f91724f1dc71	2078890299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/007/SRR3501527/SRR3501527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/007/SRR3501527/SRR3501527.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/007/SRR3501527/SRR3501527.fastq.gz
SAMN04995048	SRR3501528	SRX1759233	SAMN04995048	SRS1435352	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151932_r1	GSM2151932	GSM2151932	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2974348697.0	29448997.0	3702	Arabidopsis thaliana	RNA OTU5 control rep1	Illumina HiSeq 2000 sequencing; GSM2151932: RNA OTU5 control rep1; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151932: RNA OTU5 control rep1; Arabidopsis thaliana; RNA-Seq	RNA OTU5 control rep1	864b94a1291d4d8278cf2170b66c552e	2721486704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/008/SRR3501528/SRR3501528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/008/SRR3501528/SRR3501528.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/008/SRR3501528/SRR3501528.fastq.gz
SAMN04995049	SRR3501529	SRX1759234	SAMN04995049	SRS1435351	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151933_r1	GSM2151933	GSM2151933	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2080984507.0	20603807.0	3702	Arabidopsis thaliana	RNA OTU5 control rep2	Illumina HiSeq 2000 sequencing; GSM2151933: RNA OTU5 control rep2; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151933: RNA OTU5 control rep2; Arabidopsis thaliana; RNA-Seq	RNA OTU5 control rep2	e7df3262692822296b3ab8da8f57bacf	1883411441	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/009/SRR3501529/SRR3501529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/009/SRR3501529/SRR3501529.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/009/SRR3501529/SRR3501529.fastq.gz
SAMN04995050	SRR3501530	SRX1759235	SAMN04995050	SRS1435354	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151934_r1	GSM2151934	GSM2151934	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2327921124.0	23048724.0	3702	Arabidopsis thaliana	RNA OTU5 control rep3	Illumina HiSeq 2000 sequencing; GSM2151934: RNA OTU5 control rep3; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151934: RNA OTU5 control rep3; Arabidopsis thaliana; RNA-Seq	RNA OTU5 control rep3	0bbb8399369c8a3a6028dd8af03858be	2126822848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/000/SRR3501530/SRR3501530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/000/SRR3501530/SRR3501530.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/000/SRR3501530/SRR3501530.fastq.gz
SAMN04995051	SRR3501531	SRX1759236	SAMN04995051	SRS1435353	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151935_r1	GSM2151935	GSM2151935	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2889748067.0	28611367.0	3702	Arabidopsis thaliana	RNA WT low Pi rep1	Illumina HiSeq 2000 sequencing; GSM2151935: RNA WT low Pi rep1; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151935: RNA WT low Pi rep1; Arabidopsis thaliana; RNA-Seq	RNA WT low Pi rep1	c891230237fbc8a97b1c2194e6983072	2637468659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/001/SRR3501531/SRR3501531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/001/SRR3501531/SRR3501531.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/001/SRR3501531/SRR3501531.fastq.gz
SAMN04995052	SRR3501532	SRX1759237	SAMN04995052	SRS1435355	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151936_r1	GSM2151936	GSM2151936	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2310346013.0	22874713.0	3702	Arabidopsis thaliana	RNA WT low Pi rep2	Illumina HiSeq 2000 sequencing; GSM2151936: RNA WT low Pi rep2; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151936: RNA WT low Pi rep2; Arabidopsis thaliana; RNA-Seq	RNA WT low Pi rep2	d5b1f243510d31689d50a644a37ca639	2125654100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/002/SRR3501532/SRR3501532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/002/SRR3501532/SRR3501532.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/002/SRR3501532/SRR3501532.fastq.gz
SAMN04995053	SRR3501533	SRX1759238	SAMN04995053	SRS1435357	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151937_r1	GSM2151937	GSM2151937	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2331559952.0	23084752.0	3702	Arabidopsis thaliana	RNA WT low Pi rep3	Illumina HiSeq 2000 sequencing; GSM2151937: RNA WT low Pi rep3; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151937: RNA WT low Pi rep3; Arabidopsis thaliana; RNA-Seq	RNA WT low Pi rep3	839d114c52973c835c69df433c40e865	2137072803	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/003/SRR3501533/SRR3501533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/003/SRR3501533/SRR3501533.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/003/SRR3501533/SRR3501533.fastq.gz
SAMN04995054	SRR3501534	SRX1759239	SAMN04995054	SRS1435356	PRJNA321477	SRP075013	PRJNA9506	SRA425214	GSM2151938_r1	GSM2151938	GSM2151938	GSE81407	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2000	ILLUMINA	2397829991.0	23740891.0	3702	Arabidopsis thaliana	RNA OTU5 low Pi rep1	Illumina HiSeq 2000 sequencing; GSM2151938: RNA OTU5 low Pi rep1; Arabidopsis thaliana; RNA-Seq	Deubiquitinating Enzyme OTU5 Contributes to DNA Methylation Patterns and Is Critical for Phosphate Nutrition Signals	Illumina HiSeq 2000 sequencing; GSM2151938: RNA OTU5 low Pi rep1; Arabidopsis thaliana; RNA-Seq	RNA OTU5 low Pi rep1	2323913bc372451092ed625b11f468f6	2147394448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/004/SRR3501534/SRR3501534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/004/SRR3501534/SRR3501534.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR350/004/SRR3501534/SRR3501534.fastq.gz
